time,UAV_NED_x,UAV_NED_y,UAV_NED_z,distanceToObst,riskID,risk_type,pos_0,pos_1,pos_2,controller_mode,groundspeed,course,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5
1744878805279619.0,-1320.97,-2440.41,0.603288,2079.84,102.0,0.0,453.676,-1355.8,0.160048,0.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,60.0,0.0
1744878805299207.0,-1320.97,-2440.41,0.603288,2079.84,102.0,0.0,453.676,-1355.8,0.160048,0.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,60.0,0.0
1744878805319777.0,-1320.97,-2440.41,0.603288,2079.84,102.0,0.0,453.676,-1355.8,0.160048,0.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,60.0,0.0
1744878805340363.0,-1320.97,-2440.41,0.603288,2079.84,102.0,0.0,453.676,-1355.8,0.160048,0.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,60.0,0.0
1744878805361017.0,-1320.97,-2440.41,0.603288,2079.84,102.0,0.0,453.676,-1355.8,0.160048,0.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,60.0,0.0
1744878805381797.0,-1320.97,-2440.41,0.603288,2079.84,102.0,0.0,453.676,-1355.8,0.160048,0.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,60.0,0.0
1744878805402639.0,-1320.97,-2440.41,0.603288,2079.84,102.0,0.0,453.676,-1355.8,0.160048,0.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,60.0,0.0
1744878805402639.0,-1320.97,-2440.41,0.603288,1109.99,103.0,0.0,-210.978,-2440.1,0.469502,0.0,0.0,0.0,-420.841,-4879.64,1.87751,-1.0,60.0,0.0
1744878805423162.0,-1320.97,-2440.41,0.603288,2079.84,102.0,0.0,453.676,-1355.8,0.160048,0.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,60.0,0.0
1744878805423162.0,-1320.97,-2440.41,0.603288,1109.99,103.0,0.0,-210.978,-2440.1,0.469502,0.0,0.0,0.0,-420.841,-4879.64,1.87751,-1.0,60.0,0.0
